max_err,rmse,a6,a8,a9,a10,y,L,kappa,r21,s19,imput
0.01468999999999998,0.0084829053854076,0.0,0.0,6.0,0.5,16.0,120.0,0.0,0.0,0.3,1.0
0.014720000000000066,0.009087430232041525,0.0,2.0,8.0,0.5,14.0,60.0,0.0,0.0,0.3,1.0
0.014720000000000066,0.008883501024058278,0.0,2.0,8.0,0.5,14.0,80.0,0.0,0.0,0.3,0.0
0.01473000000000002,0.009106668582235022,0.0,2.0,8.0,0.5,14.0,60.0,0.0,1.0,0.3,1.0
0.014739999999999975,0.008250019084153001,0.0,1.0,8.0,1.0,16.0,100.0,0.0,0.0,0.3,0.0
0.014739999999999975,0.008246421899717964,0.0,1.0,8.0,1.0,16.0,100.0,0.0,1.0,0.0,0.0
0.01475000000000004,0.00823699932328829,0.0,1.0,8.0,1.0,16.0,100.0,0.0,1.0,0.3,0.0
0.014780000000000015,0.008270691945614899,0.0,1.0,8.0,1.0,16.0,100.0,0.0,0.0,0.0,0.0
0.01482,0.009141847900563478,0.0,2.0,6.0,1.0,16.0,60.0,0.3,1.0,0.3,1.0
0.014839999999999964,0.01020460611684741,0.0,1.0,6.0,1.0,16.0,60.0,0.3,1.0,0.0,0.0
0.014839999999999964,0.008884931901195917,0.0,2.0,8.0,0.5,14.0,80.0,0.0,1.0,0.3,0.0
0.01485000000000003,0.008735863717394446,0.0,2.0,8.0,1.0,16.0,80.0,0.0,0.0,0.0,1.0
0.014880000000000004,0.009119727014270475,0.0,2.0,6.0,1.0,16.0,60.0,0.3,1.0,0.0,1.0
0.014880000000000004,0.008929414816378675,0.0,2.0,8.0,0.5,14.0,80.0,0.0,0.0,0.0,0.0
0.014880000000000004,0.008732202433139827,0.0,2.0,8.0,1.0,16.0,80.0,0.0,1.0,0.0,1.0
0.01489000000000007,0.00872499895362405,0.0,2.0,8.0,1.0,16.0,80.0,0.0,1.0,0.3,1.0
0.014900000000000024,0.008747068634902988,0.0,2.0,8.0,1.0,16.0,80.0,0.0,0.0,0.3,1.0
0.014920000000000044,0.008925215220975963,0.0,2.0,8.0,0.5,14.0,80.0,0.0,1.0,0.0,0.0
0.014939999999999953,0.007529855347585071,0.0,2.0,8.0,0.5,16.0,100.0,0.0,1.0,0.0,0.0
0.014940000000000064,0.009350994246998933,0.0,1.0,8.0,1.0,16.0,80.0,0.0,1.0,0.0,0.0
0.014949999999999908,0.010231332707079887,0.0,1.0,6.0,1.0,16.0,60.0,0.3,0.0,0.0,0.0
0.014949999999999963,0.009146689184455586,0.0,2.0,6.0,1.0,16.0,60.0,0.3,0.0,0.0,1.0
0.014950000000000019,0.00754271677649178,0.0,2.0,8.0,0.5,16.0,100.0,0.0,0.0,0.0,0.0
0.014959999999999973,0.009365664521320722,0.0,1.0,8.0,1.0,16.0,80.0,0.0,0.0,0.0,0.0
0.014979999999999993,0.009169307381250325,0.0,2.0,6.0,1.0,16.0,60.0,0.3,0.0,0.3,1.0
0.014989999999999948,0.007517250093149943,0.0,2.0,8.0,0.5,16.0,100.0,0.0,1.0,0.3,0.0
0.014990000000000059,0.008649232382981438,0.0,1.0,8.0,0.5,14.0,60.0,0.0,1.0,0.0,1.0
0.015000000000000013,0.009320822730337169,0.0,1.0,8.0,1.0,16.0,80.0,0.0,0.0,0.3,0.0
0.015000000000000013,0.0075401124905647285,0.0,2.0,8.0,0.5,16.0,100.0,0.0,0.0,0.3,0.0
0.015009999999999968,0.008904894829582536,0.0,0.0,8.0,0.5,14.0,60.0,0.0,0.0,0.3,0.0
0.015009999999999968,0.009325569592374608,0.0,1.0,8.0,1.0,16.0,80.0,0.0,1.0,0.3,0.0
0.015040000000000053,0.008674069919188048,0.0,1.0,8.0,0.5,14.0,60.0,0.0,0.0,0.0,1.0
0.015059999999999962,0.008898256470917324,0.0,0.0,8.0,0.5,14.0,60.0,0.0,1.0,0.3,0.0
0.015059999999999962,0.008644029628721892,0.0,1.0,8.0,0.5,14.0,60.0,0.0,0.0,0.3,1.0
0.015069999999999917,0.01023630644830953,0.0,1.0,6.0,1.0,16.0,60.0,0.3,1.0,0.3,0.0
0.015079999999999982,0.008894184412882967,0.0,0.0,8.0,0.5,14.0,60.0,0.0,1.0,0.0,0.0
0.015100000000000002,0.008662095764711735,0.0,0.0,8.0,1.0,14.0,80.0,0.0,0.0,0.0,1.0
