maxsc,rmse,b1,b7,bs,a6,a8,a9,a10,y,L,kap,e21,e4,s19,s20,e22,bn,p2,rwc
7.449999999999993,0.011015461729365274,dol,dol,dol,0.0,0.015,0.085,0.01,0.16,0.008,0.0,0.0,0.0,0.0,1.0,-300.0,0.0,0.0,0.0
7.453333333333312,0.015108177479125028,dol,sqrt,dol,0.0,0.015,0.045,0.01,0.16,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.453333333333348,0.011018436270716999,dol,dol,dol,0.0,0.015,0.085,0.01,0.16,0.008,0.004,0.0,0.0,0.0,1.0,-300.0,0.0,0.0,0.0
7.456666666666667,0.01221701000275466,dol,dol,dol,0.0,0.0,0.085,0.01,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011,0.0,0.0
7.456666666666667,0.01221701000275466,dol,dol,dol,0.0,0.0,0.085,0.01,0.16,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.011,0.0,0.0
7.456666666666667,0.011079566748448847,dol,dol,dol,0.0,0.015,0.085,0.01,0.16,0.0,0.0,0.0,0.0,0.0,1.0,-300.0,0.011,0.0,0.0
7.456666666666667,0.011079566748448847,dol,dol,dol,0.0,0.015,0.085,0.01,0.16,0.0,0.004,0.0,0.0,0.0,1.0,-300.0,0.011,0.0,0.0
7.460000000000022,0.012220162273881644,dol,dol,dol,0.0,0.0,0.085,0.01,0.16,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.011,0.0,0.0
7.460000000000022,0.012220162273881644,dol,dol,dol,0.0,0.0,0.085,0.01,0.16,0.0,0.004,0.0,0.0,0.0,1.0,0.0,0.011,0.0,0.0
7.460000000000022,0.012176292755155789,dol,dol,dol,0.0,0.0,0.085,0.01,0.16,0.003,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
7.460000000000022,0.01217724033992499,dol,dol,dol,0.0,0.0,0.085,0.01,0.16,0.003,0.004,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
7.46333333333334,0.012175317080059964,dol,dol,dol,0.0,0.0,0.085,0.01,0.16,0.003,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.46333333333334,0.011024313335465332,dol,dol,dol,0.0,0.015,0.085,0.01,0.16,0.008,0.0,0.0,0.0,0.0,0.0,-300.0,0.0,0.0,0.0
7.46333333333334,0.011024945287510171,dol,dol,dol,0.0,0.015,0.085,0.01,0.16,0.008,0.004,0.0,0.0,0.0,0.0,-300.0,0.0,0.0,0.0
7.466666666666658,0.012179637138060181,dol,dol,dol,0.0,0.0,0.085,0.01,0.16,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.466666666666658,0.011086160611821898,dol,dol,dol,0.0,0.015,0.085,0.01,0.16,0.0,0.0,0.0,0.0,0.0,0.0,-300.0,0.011,0.0,0.0
7.466666666666658,0.011086160611821898,dol,dol,dol,0.0,0.015,0.085,0.01,0.16,0.0,0.004,0.0,0.0,0.0,0.0,-300.0,0.011,0.0,0.0
7.478399999999974,0.012591715415745016,dol,dol,dol,0.01,0.0,0.0,0.01,0.2,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.486666666666678,0.012233441903847609,dol,dol,dol,0.0,0.0,0.085,0.01,0.16,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
7.486666666666678,0.012233441903847609,dol,dol,dol,0.0,0.0,0.085,0.01,0.16,0.0,0.004,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
7.489999999999997,0.011086138963187818,dol,dol,dol,0.0,0.015,0.085,0.01,0.16,0.003,0.0,0.0,0.0,0.0,1.0,-300.0,0.0,0.0,0.0
7.489999999999997,0.011086138963187818,dol,dol,dol,0.0,0.015,0.085,0.01,0.16,0.003,0.004,0.0,0.0,0.0,1.0,-300.0,0.0,0.0,0.0
7.4933333333333145,0.014713450815117735,dol,dol,dol,0.0,0.015,0.085,0.03,0.26,1.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.493333333333352,0.012239750060992075,dol,dol,dol,0.0,0.0,0.085,0.01,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.493333333333352,0.012239750060992075,dol,dol,dol,0.0,0.0,0.085,0.01,0.16,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.493333333333352,0.01109014851785801,dol,dol,dol,0.0,0.015,0.085,0.01,0.16,0.003,0.0,0.0,0.0,0.0,0.0,-300.0,0.0,0.0,0.0
7.493333333333352,0.01109014851785801,dol,dol,dol,0.0,0.015,0.085,0.01,0.16,0.003,0.004,0.0,0.0,0.0,0.0,-300.0,0.0,0.0,0.0
7.520000000000008,0.011131109162396409,dol,dol,dol,0.0,0.015,0.085,0.01,0.16,0.0,0.0,0.0,0.0,0.0,0.0,-300.0,0.0,0.0,0.0
7.520000000000008,0.011131109162396409,dol,dol,dol,0.0,0.015,0.085,0.01,0.16,0.0,0.004,0.0,0.0,0.0,0.0,-300.0,0.0,0.0,0.0
7.523333333333326,0.012076608491901463,dol,dol,dol,0.0,0.0,0.085,0.01,0.16,0.008,0.0,0.0,0.0,0.0,1.0,-300.0,0.0,0.0,0.0
7.523333333333326,0.012076608491901463,dol,dol,dol,0.0,0.0,0.085,0.01,0.16,0.008,0.004,0.0,0.0,0.0,1.0,-300.0,0.0,0.0,0.0
